Temperature,Solar_radiation
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
16.45,0
18.0,0.0
19.55,155.29
21.0,300.0
22.24,424.26
23.2,519.62
23.8,579.56
24.0,600.0
23.8,579.56
23.2,519.62
22.24,424.26
21.0,300.0
19.55,155.29
18.0,0.0
16.45,0
15.0,0
13.76,0
12.8,0
12.2,0
12.0,0
12.2,0
12.8,0
13.76,0
15.0,0
